NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
1648,1258,111,111,82,2.84830641,390,40,51664,1650
99,99,18,18,0,0.90446937,0,3,11532,265
25,25,4,4,0,0.064657532,0,1,163,0
949,24,4,4,0,0.19703196,925,0,13740,116
,,,,,,,,1175,0
,,,,,,,,2753,84
19,19,3,3,0,0.20273973,0,2,221,0
,,,,,,,,9403,28
25,25,4,4,0,0.91156167,0,1,5784,7
25,25,3,3,0,0.12515068,0,2,21033,727
616,546,44,44,10,3.12980687,70,14,8547,328
273,290,38,38,0,0.97686452,-17,8,8766,601
4471,4122,460,460,205,6.77642777,349,98,155205,4224
20,20,3,3,0,0.45698631,0,2,1253,0
566,511,43,43,0,1.68225062,55,13,10511,598
100,66,7,7,0,0.52569532,34,3,11258,31
,,,,,,,,2084,177
,,,,,,,,468,0
851,783,129,129,0,2.9079113,68,19,23183,961
1614,1243,151,151,152,3.89947563,371,91,125511,5931
1208,822,61,61,30,3.15768417,386,36,23816,370
,,,,,,,,3049,24
,,,,,,,,10089,21
25,25,4,4,0,0.43561643,0,2,4482,184
895,867,113,113,6,3.199682,28,21,66239,5645
910,839,116,116,0,3.84696326,71,30,16797,417
388,376,66,66,0,1.96579722,12,17,39116,655
7842,7942,858,858,258,14.5224552,-100,192,1190647,39419
147,129,14,14,0,0.407331407,18,6,7769,268
62,54,9,9,0,0.55428714,8,3,5213,52
493,441,51,51,10,1.72170258,52,15,15799,354
100,100,8,8,0,0.47471234,0,3,5043,0
3177,4441,349,349,295,5.47155475,-1264,67,151083,2688
628,575,66,66,24,2.19584864,53,14,48158,1087
4440,3950,427,427,136,8.89485189,490,116,379115,20479
1407,1339,143,143,12,4.91012583,68,29,26993,763
3874,3253,285,285,122,8.27149337,621,76,95403,4741
1736,1579,145,145,45,2.53498785,157,41,63473,3137
99,99,10,10,0,0.64975786,0,5,9808,267
355,294,20,20,0,2.13512386,61,6,15646,631
1542,1312,128,128,33,3.70952016,230,35,39761,4451
345,332,39,39,0,2.07978025,13,9,38781,732
335,335,47,47,7,0.46655491,0,6,19871,386
873,728,77,77,6,2.25600492,145,18,33317,1937
347,317,62,62,0,1.31834579,30,11,17502,1127
,,,,,,,,11445,1090
48,48,6,6,0,0.10981735,0,2,1335,0
145,145,25,25,0,0.3351233,0,1,1454,29
,,,,,,,,4227,45
1453,1192,264,264,16,4.15823317,261,33,47675,2273
,,,,,,,,2100,72
136,112,28,28,0,0.70073179,24,4,6627,326
59,25,4,4,0,0.58597261,34,2,2777,201
49,34,3,3,0,0.19911362,15,2,8448,655
,,,,,,,,2410,96
25,25,4,4,0,0.51769865,0,1,5904,139
,,,,,,,,2211,187
365,285,12,12,0,0.34903577,80,2,20900,1241
,,,,,,,,4184,19
56,56,6,6,0,0.20406066,0,2,18080,831
119,119,21,21,0,0.78314722,0,5,32338,2510
75,48,5,5,0,0.21969178,27,2,4071,40
63,51,9,9,0,0.030889068,12,1,2553,4
1184,1017,126,126,77,4.05810944,167,25,28404,1372
25,15,3,3,0,0.86246574,10,1,2280,8
,,,,,,,,2974,144
25,25,4,4,0,0.53797263,0,1,4752,547
,,,,,,,,4824,297
195,184,31,31,0,0.52950263,11,4,4335,152
40,40,7,7,0,0.070479453,0,1,7381,299
25,25,4,4,0,0.52208221,0,2,13185,1217
,,,,,,,,8541,357
40,40,5,5,0,0.45486301,0,2,3739,61
25,25,6,6,0,0.3110137,0,2,823,0
326,197,28,28,0,1.49417043,129,11,34348,1589
179,36,6,6,0,0.10768645,143,2,7599,36
,,,,,,,,1654,50
1569,1304,89,89,74,5.97498672,265,42,29595,1295
250,250,0,0,0,0,0,0,5828,5
,,,,,,,,1585,133
126,150,20,20,0,0.93992692,-24,6,51906,1759
597,564,99,99,20,1.95186961,33,16,17101,1081
,,,,,,,,2508,167
538,441,35,35,0,2.2001923,97,7,75737,3046
25,15,3,3,0,0.46794522,10,1,2916,67
1346,1243,98,98,49,2.6799883,103,67,181559,10177
88,86,10,10,0,0.52797067,2,3,15687,746
168,127,16,16,0,1.6412999,41,3,25577,862
,,,,,,,,15575,383
33,33,6,6,0,0.088750519,0,0,2895,98
254,250,23,23,10,2.18677628,4,9,24320,513
,,,,,,,,1612,0
73,65,16,16,0,0.51747102,8,3,14395,438
36,36,6,6,0,0,0,0,1891,81
,,,,,,,,6374,111
2834,2447,307,307,42,6.19045895,387,36,219941,6359
80,80,10,10,0,0.19695206,0,2,10181,256
94,40,6,6,0,0.36321917,54,2,2958,96
,,,,,,,,10880,741
691,405,50,50,27,0.65292871,286,9,129241,9984
108,102,8,8,0,0.69806606,6,10,33673,1345
25,25,3,3,0,0.3601096,0,1,16987,1803
,,,,,,,,4575,0
25,25,4,4,0,0.26564384,0,2,4119,79
25,52,4,4,0,0.14330874,-27,2,3702,0
72,45,8,8,0,0.19939117,27,2,1987,81
49,49,9,9,0,0.067766286,0,2,398,0
50,50,5,5,0,0.17747945,0,2,2966,58
282,221,66,66,20,0.81288803,61,8,15960,886
514,435,42,42,0,1.40423762,79,18,17309,942
304,304,24,24,0,0.71379977,0,7,30937,787
56,56,8,8,0,0.32064578,0,2,4251,54
4682,3931,656,656,154,8.22528549,751,88,284413,13374
,,,,,,,,7635,30
,,,,,,,,56,0
401,401,12,12,0,1.14493137,0,8,7928,91
69,69,8,8,0,0.64264441,0,2,10783,1009
60,44,4,4,0,0.30386052,16,2,6434,245
50,50,8,8,0,0.93369863,0,4,4712,373
848,854,70,70,42,2.30850124,-6,23,224822,7317
53,53,4,4,0,0.30012923,0,2,28606,1176
657,542,85,85,0,0.81093365,115,20,142820,2454
,,,,,,,,9179,934
25,15,3,3,0,0.82337898,10,2,2888,163
,,,,,,,,7120,274
,,,,,,,,1706,0
,,,,,,,,1696,142
215,215,33,33,16,0.74003267,0,10,46708,1325
276,276,36,36,0,1.17014137,0,11,23464,1196
34,34,6,6,0,0.12046736,0,2,1873,62
90,28,5,5,0,0.12279844,62,2,11025,279
17,12,2,2,0,0.31940639,5,0,2384,33
35,25,4,4,0,0.32679453,10,2,2169,75
37,37,6,6,0,0.11743799,0,2,2184,75
25,15,3,3,0,0.079279281,10,1,1784,161
,,,,,,,,4702,134
,,,,,,,,2538,0
,,,,,,,,3857,130
25,25,4,4,0,0.23978083,0,1,1976,117
530,485,16,16,0,0.53613603,45,6,6460,74
,,,,,,,,26430,1641
64,64,4,4,0,0.29972604,0,2,4376,21
,,,,,,,,1078,21
,,,,,,,,789,33
443,370,48,48,0,1.49471455,73,9,22173,300
52,0,32,32,0,0,52,0,5482,68
49,22,4,4,0,0.024283934,27,0,6329,339
,,,,,,,,2991,107
,,,,,,,,3360,109
25,25,4,4,0,0.58991778,0,2,4181,321
,,,,,,,,795,24
109,109,11,11,0,1.22413671,0,6,5801,92
25,25,4,4,0,0.84197259,0,2,2651,0
25,25,4,4,0,0.60712332,0,1,26492,2298
25,25,5,5,0,0.45073971,0,2,5575,497
,,,,,,,,632,0
25,25,4,4,0,0.55517811,0,1,2419,0
42,29,5,5,0,0.14879547,13,1,5192,53
1167,794,69,69,39,2.86087361,373,29,39534,1098
101,94,10,10,6,0.4860099,7,4,21064,632
,,,,,,,,6746,275
,,,,,,,,4010,341
112,112,8,8,0,0.69070452,0,9,19851,716
25,25,4,4,0,0.76339728,0,2,4768,292
52,52,6,6,0,0.69910431,0,3,3001,232
,,,,,,,,6281,237
,,,,,,,,3604,156
25,25,4,4,0,0.84536988,0,2,6994,28
49,55,6,6,0,0.15800747,-6,2,2549,108
,,,,,,,,4964,474
,,,,,,,,652,69
25,25,4,4,0,0.17830136,0,2,1320,78
25,25,4,4,0,0.1620822,0,1,12693,1371
3038,2064,402,402,74,4.17223096,974,61,36340,1533
138,138,16,16,0,0.75806856,0,5,18514,557
,,,,,,,,1275,78
25,25,4,4,0,0.21665753,0,1,2403,136
65,45,8,8,0,0.22989346,20,1,2811,138
160,160,22,22,0,0.57820207,0,12,17590,1149
96,74,6,6,0,0.253943,22,2,7664,147
,,,,,,,,2876,26
76,54,9,9,0,0.55403346,22,3,31888,2583
,,,,,,,,2359,99
,,,,,,,,62,0
25,25,4,4,0,0.29030138,0,2,1604,0
,,,,,,,,1472,155
,,,,,,,,2387,49
,,,,,,,,14823,1681
264,226,35,35,0,0.63576192,38,7,19336,1831
241,181,20,20,0,0.63762963,60,4,16291,862
57,52,8,8,0,0.76949418,5,3,4006,264
25,25,4,4,0,0.32635617,0,1,1649,56
,,,,,,,,587,5
276,276,20,20,0,0.2930415,0,7,23162,702
,,,,,,,,7221,742
,,,,,,,,905,23
45,39,5,5,0,0.50165087,6,2,2686,100
,,,,,,,,90407,163
115,87,28,28,0,0.37228784,28,2,18132,1910
,,,,,,,,8100,40
