STATE,COUNTY,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
Illinois,Ogle,16,17,4,4,0,0.17550363,-1,1,11700,178
Illinois,Peoria,1226,986,115,115,28,2.21873834,240,26,13829,609
Illinois,Perry,42,42,7,7,0,0.73722484,0,2,2211,0
Illinois,Piatt,16,16,3,3,0,0.30719179,0,1,709,0
Illinois,Pike,35,25,4,4,0,0.11912329,10,1,91,0
Illinois,Pope,,,,,,,,,46,0
Illinois,Pulaski,,,,,,,,,2615,0
Illinois,Putnam,,,,,,,,,40,0
Illinois,Randolph,171,171,29,29,0,0.98630136,0,4,14877,224
Illinois,Richland,134,47,8,8,0,0.26779366,87,2,223,0
Illinois,Rock Island,472,442,27,27,9,0.63146744,30,8,39387,1317
Illinois,Saline,102,65,11,11,0,0.62919179,37,3,409,0
Illinois,Sangamon,1159,994,93,93,43,2.37126899,165,26,19377,1595
Illinois,Schuyler,22,22,4,4,0,0.16749689,0,0,529,0
Illinois,Shelby,30,30,5,5,0,0.12648402,0,2,880,55
Illinois,St. Clair,591,556,63,63,0,1.95049348,35,19,67951,5009
Illinois,Stark,,,,,,,,,144,0
Illinois,Stephenson,100,100,8,8,0,0.37367123,0,4,9469,130
Illinois,Tazewell,132,132,12,12,0,0.42649391,0,5,4580,317
Illinois,Union,135,113,4,4,0,0.71928394,22,2,6955,457
Illinois,Unknown,,,,,,,,,18831,2800
Illinois,Vermilion,599,597,16,16,0,0.40050241,2,6,2150,61
Illinois,Wabash,25,25,4,4,0,0.29545206,0,1,337,0
Illinois,Warren,23,23,4,4,0,0.15199524,0,1,6398,0
Illinois,Washington,50,22,4,4,0,0.22727273,28,1,1073,0
Illinois,Wayne,55,25,4,4,0,0.18389042,30,2,429,40
Illinois,White,,,,,,,,,130,0
Illinois,Whiteside,123,121,13,13,0,0.73422033,2,2,8252,658
Illinois,Will,1023,852,97,97,0,1.64035102,171,28,308490,15936
Illinois,Williamson,327,294,28,28,0,0.97588044,33,9,3742,95
Illinois,Winnebago,988,925,99,99,60,2.51508686,63,17,105928,3150
Illinois,Woodford,25,25,4,4,0,0.13249315,0,1,1380,97
Indiana,Adams,25,25,4,4,0,0.58399999,0,2,1048,78
Indiana,Allen,1621,1621,235,235,101,4.26982752,0,38,84989,4672
Indiana,Bartholomew,225,225,17,17,0,0.39505291,0,7,28373,2116
Indiana,Benton,,,,,,,,,1460,0
Indiana,Blackford,15,15,4,4,0,0.40566209,0,2,1319,96
Indiana,Boone,68,68,8,8,0,0.28738919,0,2,20273,2242
Indiana,Brown,,,,,,,,,1996,77
Indiana,Carroll,,,,,,,,,4697,120
Indiana,Cass,165,165,5,5,0,0.82325878,0,3,88741,431
Indiana,Clark,253,253,22,22,0,1.33452988,0,5,29939,2474
Indiana,Clay,25,25,4,4,0,0.078246579,0,1,2563,102
Indiana,Clinton,25,25,5,5,0,0.16723287,0,2,10458,152
Indiana,Crawford,,,,,,,,,1651,72
Indiana,Daviess,42,42,5,5,0,0.27038488,0,2,5354,1048
Indiana,DeKalb,37,37,8,8,0,0.32165864,0,3,3168,154
Indiana,Dearborn,78,78,8,8,0,0.89873508,0,3,10555,1139
Indiana,Decatur,25,25,4,4,0,0.41227397,0,2,16993,2290
Indiana,Delaware,377,377,44,44,23,1.69469619,0,26,20149,1865
Indiana,Dubois,111,111,26,26,0,0.32889053,0,3,8804,136
Indiana,Elkhart,338,338,35,35,8,1.82627825,0,9,69652,1547
Indiana,Fayette,,,,,,,,,5760,396
Indiana,Floyd,280,269,18,18,0,1.62762633,11,8,19230,2194
Indiana,Fountain,,,,,,,,,1180,150
Indiana,Franklin,,,,,,,,,8559,670
Indiana,Fulton,25,25,4,4,0,0.33676714,0,2,2666,54
Indiana,Gibson,25,25,5,5,0,0.34169862,0,1,968,64
Indiana,Grant,347,347,19,19,0,0.99601642,0,7,15018,1313
Indiana,Greene,25,25,5,5,0,0.23550685,0,2,9576,1370
Indiana,Hamilton,626,626,90,90,44,1.99753828,0,19,75295,5875
Indiana,Hancock,73,73,26,26,0,0.36829105,0,4,21056,1538
Indiana,Harrison,25,25,4,4,0,0.52449316,0,2,11875,1128
Indiana,Hendricks,260,260,28,28,0,1.0262341,0,10,71782,4965
Indiana,Henry,48,48,10,10,0,0.43630138,0,3,8707,440
Indiana,Howard,250,250,21,21,0,1.24444186,0,10,21501,1599
Indiana,Huntington,36,36,6,6,0,0.33112633,0,2,1800,144
Indiana,Jackson,85,85,7,7,0,0.27230382,0,6,20737,120
Indiana,Jasper,25,25,4,4,0,0.1740274,0,2,3918,90
Indiana,Jay,25,25,4,4,0,0.23751634,0,2,2558,0
Indiana,Jefferson,232,232,6,6,0,1.07411292,0,2,2788,40
Indiana,Jennings,25,25,4,4,0,0.070684932,0,1,8361,402
Indiana,Johnson,195,195,6,6,0,1.52801152,0,2,66466,6617
Indiana,Knox,99,99,30,30,0,0.55754811,0,4,1953,0
Indiana,Kosciusko,88,88,14,14,0,0.94495815,0,3,8672,161
Indiana,LaGrange,25,25,4,4,0,0.33172601,0,2,7027,145
Indiana,LaPorte,278,278,34,34,0,0.71275142,0,9,23815,1110
Indiana,Lake,1737,1737,203,203,63,7.13325501,0,66,206423,11123
Indiana,Lawrence,50,50,11,11,0,0.64646576,0,5,10057,1421
Indiana,Madison,303,303,42,42,0,1.077023962,0,14,38410,4582
Indiana,Marion,4059,4059,467,467,244,10.65177744,0,156,590416,35699
Indiana,Marshall,160,160,11,11,0,2.063504876,0,4,7785,97
Indiana,Martin,,,,,,,,,720,0
Indiana,Miami,25,25,4,4,0,0.33457536,0,2,8539,55
Indiana,Monroe,357,357,24,24,18,1.61002689,0,15,11518,823
Indiana,Montgomery,29,29,5,5,0,0.28634861,0,2,11733,723
Indiana,Morgan,83,83,10,10,0,0.22756231,0,3,17074,1296
Indiana,Newton,,,,,,,,,4804,660
Indiana,Noble,47,47,5,5,0,1.08050707,0,2,12554,1241
Indiana,Ohio,,,,,,,,,667,0
Indiana,Orange,24,24,4,4,0,0.080936074,0,2,7474,1260
Indiana,Owen,,,,,,,,,2317,74
Indiana,Parke,,,,,,,,,1340,0
